epoch,accuracy
1,0.7766666412353516
2,0.8533333539962769
3,0.8715000152587891
4,0.8801833391189575
5,0.8869500160217285
6,0.8922333121299744
7,0.8970166444778442
8,0.9006166458129883
9,0.9043166637420654
10,0.908216655254364
